date,state,cases,id
2/20/2021,Alabama,485986,1
2/20/2021,Alaska,56726,2
2/20/2021,Arizona,807163,3
2/20/2021,Arkansas,312411,4
2/20/2021,California,3527411,5
2/20/2021,Colorado,422240,6
2/20/2021,Connecticut,272164,7
2/20/2021,Delaware,84342,8
2/20/2021,District of Columbia,39553,9
2/20/2021,Florida,1860284,10
2/20/2021,Georgia,955033,11
2/20/2021,Hawaii,27011,12
2/20/2021,Idaho,169229,13
2/20/2021,Illinois,1175781,13
2/20/2021,Indiana,657848,14
2/20/2021,Iowa,330855,15
2/20/2021,Kansas,294010,16
2/20/2021,Kentucky,400011,17
2/20/2021,Louisiana,421875,18
2/20/2021,Maine,43365,19
2/20/2021,Maryland,375919,20
2/20/2021,Massachusetts,536844,21
2/20/2021,Michigan,635359,22
2/20/2021,Minnesota,477725,23
2/20/2021,Mississippi,290242,24
2/20/2021,Missouri,241125,25
